year,Resource,zone,region,Sum
2019,battery_mid,1,MIS_Central,0
2019,conventional_hydroelectric,1,MIS_Central,2231682
2019,conventional_steam_coal,1,MIS_Central,182961220
2019,hydroelectric_pumped_storage,1,MIS_Central,165552.78
2019,landbasedwind_ltrg1_mid_70_1,1,MIS_Central,0
2019,natural_gas_fired_combined_cycle,1,MIS_Central,4567741.5
2019,natural_gas_fired_combustion_turbine,1,MIS_Central,715642.7
2019,naturalgas_ccavgcf_mid,1,MIS_Central,0
2019,naturalgas_ccccsavgcf_mid,1,MIS_Central,0
2019,naturalgas_ccs100_mid,1,MIS_Central,0
2019,naturalgas_ctavgcf_mid,1,MIS_Central,0.05353214
2019,nuclear,1,MIS_Central,19699680
2019,nuclear_mid,1,MIS_Central,0
2019,onshore_wind_turbine,1,MIS_Central,7365335
2019,solar_photovoltaic,1,MIS_Central,343315.44
2019,utilitypv_losangeles_mid_70_4_0_2,1,MIS_Central,0
2019,battery_mid,10,PJM_PECO,0
2019,biomass,10,PJM_PECO,770986.945
2019,landbasedwind_ltrg1_mid_110,10,PJM_PECO,0
2019,natural_gas_fired_combined_cycle,10,PJM_PECO,22897294
2019,natural_gas_fired_combustion_turbine,10,PJM_PECO,93775.85
2019,natural_gas_steam_turbine,10,PJM_PECO,47432.23
2019,naturalgas_ccavgcf_mid,10,PJM_PECO,0
2019,naturalgas_ccccsavgcf_mid,10,PJM_PECO,0
2019,naturalgas_ccs100_mid,10,PJM_PECO,0
2019,naturalgas_ctavgcf_mid,10,PJM_PECO,0.48599607
2019,nuclear,10,PJM_PECO,19584364
2019,nuclear_mid,10,PJM_PECO,0
2019,solar_photovoltaic,10,PJM_PECO,20263.555
2019,utilitypv_losangeles_mid_100_0_2,10,PJM_PECO,0
2019,battery_mid,11,PJM_SMAC,0
2019,conventional_hydroelectric,11,PJM_SMAC,2113653.5
2019,conventional_steam_coal,11,PJM_SMAC,235895.47
2019,hydroelectric_pumped_storage,11,PJM_SMAC,401160.97
2019,landbasedwind_ltrg1_mid_110,11,PJM_SMAC,0
2019,natural_gas_fired_combined_cycle,11,PJM_SMAC,6128461.23
2019,natural_gas_fired_combustion_turbine,11,PJM_SMAC,198963.034
2019,naturalgas_ccavgcf_mid,11,PJM_SMAC,0
2019,naturalgas_ccccsavgcf_mid,11,PJM_SMAC,0
2019,naturalgas_ccs100_mid,11,PJM_SMAC,0
2019,naturalgas_ctavgcf_mid,11,PJM_SMAC,0.18978281
2019,nuclear,11,PJM_SMAC,36483284
2019,nuclear_mid,11,PJM_SMAC,0
2019,onshore_wind_turbine,11,PJM_SMAC,3327.9475
2019,solar_photovoltaic,11,PJM_SMAC,64417.094
2019,utilitypv_losangeles_mid_70_43_0_2,11,PJM_SMAC,0
2019,battery_mid,12,PJM_WEST,0
2019,biomass,12,PJM_WEST,538696.7
2019,conventional_hydroelectric,12,PJM_WEST,2636665.5
2019,conventional_steam_coal,12,PJM_WEST,223071140
2019,hydroelectric_pumped_storage,12,PJM_WEST,62103.816
2019,landbasedwind_ltrg1_mid_70_1,12,PJM_WEST,0
2019,natural_gas_fired_combined_cycle,12,PJM_WEST,124234700
2019,natural_gas_fired_combustion_turbine,12,PJM_WEST,255308.163
2019,naturalgas_ccavgcf_mid,12,PJM_WEST,0
2019,naturalgas_ccccsavgcf_mid,12,PJM_WEST,0
2019,naturalgas_ccs100_mid,12,PJM_WEST,0
2019,naturalgas_ctavgcf_mid,12,PJM_WEST,0.2454694
2019,nuclear,12,PJM_WEST,53455570
2019,nuclear_mid,12,PJM_WEST,0
2019,onshore_wind_turbine,12,PJM_WEST,6777458
2019,small_hydroelectric,12,PJM_WEST,210728.84
2019,solar_photovoltaic,12,PJM_WEST,906342.44
2019,utilitypv_losangeles_mid_100_0_2,12,PJM_WEST,0
2019,battery_mid,13,PJM_WestMAC,0
2019,conventional_hydroelectric,13,PJM_WestMAC,1385943
2019,conventional_steam_coal,13,PJM_WestMAC,511582.347
2019,hydroelectric_pumped_storage,13,PJM_WestMAC,227316.28
2019,landbasedwind_ltrg1_mid_100,13,PJM_WestMAC,0
2019,natural_gas_fired_combined_cycle,13,PJM_WestMAC,83713970
2019,natural_gas_fired_combustion_turbine,13,PJM_WestMAC,525378.4
2019,natural_gas_steam_turbine,13,PJM_WestMAC,3539114.5
2019,naturalgas_ccavgcf_mid,13,PJM_WestMAC,0
2019,naturalgas_ccccsavgcf_mid,13,PJM_WestMAC,0
2019,naturalgas_ccs100_mid,13,PJM_WestMAC,0
2019,naturalgas_ctavgcf_mid,13,PJM_WestMAC,0.3033434
2019,nuclear,13,PJM_WestMAC,21787584
2019,nuclear_mid,13,PJM_WestMAC,0
2019,onshore_wind_turbine,13,PJM_WestMAC,2218545.8
2019,small_hydroelectric,13,PJM_WestMAC,170443.5
2019,solar_photovoltaic,13,PJM_WestMAC,45178.348
2019,utilitypv_losangeles_mid_100_0_2,13,PJM_WestMAC,0
2019,battery_mid,14,SC_TVA,0
2019,conventional_hydroelectric,14,SC_TVA,15565868
2019,conventional_steam_coal,14,SC_TVA,5010828.5
2019,hydroelectric_pumped_storage,14,SC_TVA,337472.16
2019,landbasedwind_ltrg1_mid_70_3,14,SC_TVA,0
2019,natural_gas_fired_combined_cycle,14,SC_TVA,52962816
2019,natural_gas_fired_combustion_turbine,14,SC_TVA,252164.586
2019,naturalgas_ccavgcf_mid,14,SC_TVA,0
2019,naturalgas_ccccsavgcf_mid,14,SC_TVA,0
2019,naturalgas_ccs100_mid,14,SC_TVA,0
2019,naturalgas_ctavgcf_mid,14,SC_TVA,0.04770927
2019,nuclear,14,SC_TVA,71129380
2019,nuclear_mid,14,SC_TVA,0
2019,onshore_wind_turbine,14,SC_TVA,19795.18
2019,small_hydroelectric,14,SC_TVA,165973.83
2019,solar_photovoltaic,14,SC_TVA,581233.1
2019,utilitypv_losangeles_mid_100_0_2,14,SC_TVA,0
2019,battery_mid,15,SC_VACA,0
2019,biomass,15,SC_VACA,1317083
2019,conventional_hydroelectric,15,SC_VACA,3044509.8
2019,conventional_steam_coal,15,SC_VACA,37229550
2019,hydroelectric_pumped_storage,15,SC_VACA,362870.5
2019,natural_gas_fired_combined_cycle,15,SC_VACA,33071326
